mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.30181140899658204,0.056867136820515654,0.002277231216430664,4.251735306512388e-05,relu,10.0,"(32,)",0.002,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (32,), 'MLP__learning_rate_init': 0.002}",0.8811717916383743,0.901432405341611,0.8724803569696381,0.8965628738642613,0.8735623403498561,0.8850510924127982,0.011882499011510336,2534,0.888575185333267,0.8975296006487641,0.872700589775629,0.891388756502455,0.8872296051993404,0.887484747491891,0.00819714380686796
0.22291040420532227,0.059437734758425904,0.0022711753845214844,0.00010744094594680834,relu,10.0,"(32,)",0.004,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (32,), 'MLP__learning_rate_init': 0.004}",0.8796682510427783,0.9047078604455655,0.9003395091667475,0.908306657613089,0.8742949410824569,0.8934787036812857,0.013791816498670133,2487,0.8930514026300049,0.8996045467241396,0.8997753657020118,0.9036962000839708,0.8887202121123936,0.8969695454505041,0.005356623661204144
0.14766240119934082,0.03489486188004625,0.0022789478302001954,0.00011982706214564123,relu,10.0,"(32,)",0.008,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (32,), 'MLP__learning_rate_init': 0.008}",0.8818993112814045,0.9026158372942737,0.9032528211595047,0.898884469880687,0.8892276859332345,0.8951807605100525,0.008320172598944752,2481,0.8949789032401355,0.8993082227724886,0.9006858895759674,0.8966437018998885,0.900656384389045,0.898454620375505,0.002276620275707761
0.16159653663635254,0.047407275829991116,0.0023360252380371094,0.0001673200457144082,relu,10.0,"(32,)",0.016,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (32,), 'MLP__learning_rate_init': 0.016}",0.887725935266919,0.8986548970155528,0.9016134768972095,0.8990202735473859,0.887854579216496,0.8949794999392877,0.0059525416846615345,2482,0.8946056990043771,0.8938735214466588,0.8954499083109737,0.8972964402053853,0.8933383451353186,0.8949127828205427,0.0013873388208247694
0.09895925521850586,0.020599660117634814,0.002209186553955078,4.241921489988529e-05,relu,10.0,"(32,)",0.032,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (32,), 'MLP__learning_rate_init': 0.032}",0.8879070068225176,0.9068936527952923,0.9068936527952921,0.899928864746015,0.8996972709929835,0.9002645408678206,0.0069458473058947225,2471,0.8942337971407135,0.9023455304899352,0.9022320803953695,0.9032175059545883,0.9025552106573543,0.9009168249275922,0.003358910475646787
0.10655517578125,0.017070771568580664,0.002356290817260742,0.0002897429492830719,relu,10.0,"(32,)",0.064,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (32,), 'MLP__learning_rate_init': 0.064}",0.8855433763378279,0.9113105053836456,0.900019400523814,0.8765771009150581,0.882445932587799,0.8911862156475173,0.012688649442050908,2495,0.8997596338745569,0.9037098032846157,0.9006385274832373,0.8901925920283782,0.8818475765512336,0.8952296266444044,0.008076404547296101
0.08562040328979492,0.01316193518302011,0.0022312164306640624,0.00010359890561375352,relu,10.0,"(32,)",0.128,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (32,), 'MLP__learning_rate_init': 0.128}",0.8767581724706568,0.9016102434765741,0.8691531671355126,0.8892747437514148,0.8492906683480453,0.877239631165955,0.017797139288064694,2566,0.8890038628834436,0.8888111159958909,0.8612184659989012,0.900864490462031,0.8616936657289745,0.8803183202138483,0.016008707188535306
0.08749189376831054,0.0012100142401878721,0.0024435043334960936,0.00011532702714224908,relu,10.0,"(16, 16)",1e-06,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (16, 16), 'MLP__learning_rate_init': 1e-06}",0.05719274420409352,0.061790668348045405,0.07394832993824166,0.0790474342807256,0.06677123318043873,0.06775086123990175,0.007927480320092889,3339,0.0699811551635307,0.06936545804804319,0.06618637594799394,0.0649240058667884,0.06715248811717917,0.06752189662870708,0.0019034592612310669
0.5763219356536865,0.0347254197637387,0.0027176380157470704,0.000559024666482232,relu,10.0,"(16, 16)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (16, 16), 'MLP__learning_rate_init': 0.001}",0.8647815824360592,0.893691596339768,0.8779868723122191,0.8755294726290945,0.8672471811500816,0.875854187455733,0.010194398286065812,2571,0.8822909862765007,0.8806630729941194,0.8674826441613513,0.8828374042167944,0.8745157952598053,0.8775579805817142,0.005842645825846867
0.37520756721496584,0.02738643147542761,0.002536773681640625,0.00017359047009427446,relu,10.0,"(16, 16)",0.002,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (16, 16), 'MLP__learning_rate_init': 0.002}",0.8717011025964367,0.8960584602450935,0.8960584602450933,0.885543376337828,0.8718687208126048,0.8842558774674776,0.010873670734523215,2537,0.8863713331227162,0.8839311619343497,0.8876932870663721,0.8904292651785471,0.880922818249426,0.8858695731102824,0.0032433411476900666
0.32852606773376464,0.08605802684000212,0.0023723602294921874,5.106425060422464e-05,relu,10.0,"(16, 16)",0.004,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (16, 16), 'MLP__learning_rate_init': 0.004}",0.8848546577424257,0.8951466356258287,0.8951046011575645,0.8913247324344425,0.8581782446221287,0.8849430645141194,0.013873537109256014,2535,0.8960748260716794,0.898811878142476,0.8876958607099598,0.8980792128095673,0.8677433957383515,0.8896810346944068,0.011661759598087724
0.20531325340270995,0.02283708809186366,0.002459287643432617,7.001635615621399e-05,relu,10.0,"(16, 16)",0.008,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (16, 16), 'MLP__learning_rate_init': 0.008}",0.868878326381479,0.9000161671031787,0.9018398163417078,0.8895043166165487,0.8950822559113857,0.8910609777268494,0.011895723374858424,2497,0.8922218357205772,0.8935320943095468,0.8979701893214226,0.8943515519015888,0.8973065606104698,0.8950764463727211,0.002209364389647437
0.16642675399780274,0.03277218441664461,0.0023489952087402343,5.0523726576248464e-05,relu,10.0,"(16, 16)",0.016,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (16, 16), 'MLP__learning_rate_init': 0.016}",0.8871794871794874,0.8876806673780193,0.8980599476185855,0.8982862870630841,0.9018563298828115,0.8946067771347115,0.006018136693827927,2484,0.8984819401563776,0.8777344963660829,0.8922135315306652,0.9010175170845538,0.9018624502861576,0.8942619870847676,0.00892822882764132
0.134421443939209,0.03019457791360068,0.002338600158691406,4.5085047868521544e-05,relu,10.0,"(16, 16)",0.032,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (16, 16), 'MLP__learning_rate_init': 0.032}",0.8763442946292884,0.8958288873799595,0.8881365796876515,0.8621916125068712,0.8907874649520298,0.8826512958784881,0.012071683541148839,2540,0.8896301557989256,0.8969949142112168,0.8838751247740849,0.8736170194562524,0.8919318071587932,0.8872098042798546,0.007997345505858403
0.15010437965393067,0.03223494070977822,0.002388620376586914,0.00010953942803137412,relu,10.0,"(16, 16)",0.064,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (16, 16), 'MLP__learning_rate_init': 0.064}",0.8727487308824006,0.8784815856694799,0.9070747243508909,0.8856339121156274,0.8380926398107986,0.8764368196179588,0.022394078685868016,2570,0.882610834265135,0.8717546899306636,0.8963995401740668,0.8923333458266534,0.8564587577197917,0.8799114335832622,0.01449143746454958
0.14309005737304686,0.030534810608263296,0.0024571895599365236,0.00015037045986120216,relu,10.0,"(16, 16)",0.128,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (16, 16), 'MLP__learning_rate_init': 0.128}",0.8584052769424776,0.8574966857438486,0.8631907394832994,0.8498528793610763,0.8570570560167029,0.8572006417253857,0.004277919875520869,2630,0.8725381195694571,0.8473770507825396,0.8684190779376406,0.8625007388481649,0.8621269440941572,0.8625923862463919,0.008539313980860979
0.07396674156188965,0.0009448897130516114,0.001908731460571289,8.304655414801193e-05,relu,10.0,"(8, 8)",1e-06,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (8, 8), 'MLP__learning_rate_init': 1e-06}",0.08565331263944126,0.0883402851877001,0.0816923723607204,0.07618262359750382,0.0804029304029304,0.08245593791181398,0.004220312037079848,3277,0.08165638141561535,0.08098373613011096,0.08279616963064297,0.08402735978112177,0.08310376046819931,0.08251348148513808,0.0010765603318817017
0.6435240745544434,0.014402483986986953,0.0019345760345458984,1.7629695740720305e-05,relu,10.0,"(8, 8)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (8, 8), 'MLP__learning_rate_init': 0.001}",0.8621851456655998,0.874207003589097,0.8709768163740421,0.8608691434668738,0.8625087764274397,0.8661522753423837,0.005387804437852907,2601,0.8695750722495529,0.8654821279002115,0.862679319790132,0.8673865562577618,0.8707246095644582,0.8671695371524233,0.002880334640123879
0.4227746486663818,0.015100234569985889,0.0019407272338867188,3.8733444497966846e-05,relu,10.0,"(8, 8)",0.002,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (8, 8), 'MLP__learning_rate_init': 0.002}",0.8646425453487245,0.8853590713615935,0.8805348077731431,0.865922979920458,0.8689070229896207,0.8730766021894352,0.008323259965578358,2575,0.876573096973086,0.8753409896005987,0.871204596732806,0.8710217756651585,0.8762092993177483,0.8740699516578795,0.002447844687062554
0.2961564540863037,0.0274198632875832,0.0019221782684326171,4.4549556209022026e-05,relu,10.0,"(8, 8)",0.004,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (8, 8), 'MLP__learning_rate_init': 0.004}",0.870970349532771,0.8842209072978306,0.8816277039480065,0.8718401396837717,0.87453588865947,0.876640672083912,0.005330170964566736,2569,0.880880555628171,0.874713756358821,0.8736756948302223,0.8785875914310628,0.8833899181944579,0.8782495032885469,0.003657371612931092
0.29990134239196775,0.08846108803943492,0.0019095897674560546,3.4549015746144166e-05,relu,10.0,"(8, 8)",0.008,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (8, 8), 'MLP__learning_rate_init': 0.008}",0.8655964044362533,0.8833090826785658,0.8678339315161508,0.8846768196074629,0.8697829912836219,0.874243393951988,0.008086666472954819,2574,0.8784973430684311,0.8774954126440646,0.8650997441508615,0.8935935381481931,0.8735918453131567,0.8776555766649414,0.00926191861391952
0.1705623149871826,0.03202933214063656,0.0019119739532470702,5.38206588411655e-05,relu,10.0,"(8, 8)",0.016,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (8, 8), 'MLP__learning_rate_init': 0.016}",0.8511688815598022,0.8777540660264497,0.8540401590842952,0.8751608626766259,0.8593046875360875,0.8634890598546326,0.010942627453403892,2618,0.8681485477574581,0.8773344306419798,0.8591775006187313,0.8712715511970088,0.8730001293368255,0.8697864319104006,0.006078450508901203
0.17559261322021485,0.02065873515418926,0.001887941360473633,1.5674530255702685e-05,relu,10.0,"(8, 8)",0.032,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (8, 8), 'MLP__learning_rate_init': 0.032}",0.8645940440391892,0.8776182623597506,0.8588191547838457,0.8642383677692632,0.8632059250123563,0.8656971324351491,0.006310380705196068,2603,0.8734538916895894,0.8686229972739841,0.851208186562011,0.8682815206403237,0.8712007307530637,0.8665534653837943,0.00789885660012285
